schedule_id,employee_id,employee_name,role,date,start_time,end_time,break_minutes,hours_worked,is_night_shift,is_compliant,violation_type,generated_by_ai,pharmacy_id,week_number,year
f24aa27d-384f-4695-a30c-e84c7758a36a,EMP73974,Pierre Girard,préparateur,2024-01-08,10:00,14:00,0,4,False,True,,False,PHARM6945,1,2024
43bc1d83-c117-49cc-85d1-f9e060b80a48,EMP73974,Pierre Girard,préparateur,2024-01-09,10:00,14:00,0,4,False,True,,False,PHARM6945,1,2024
1b65628a-e29e-4a0c-9d86-b6b82be813a1,EMP73974,Pierre Girard,préparateur,2024-01-10,10:00,18:00,30,8,False,True,,True,PHARM6945,1,2024
3f48922e-508e-436a-8ab5-6766f4c74c80,EMP73974,Pierre Girard,préparateur,2024-01-11,08:00,14:00,30,6,False,True,,True,PHARM6945,1,2024
3ec81e4e-bc52-4115-b46c-eae78b5c9347,EMP15485,Michèle Bernier,préparateur,2024-01-08,08:00,16:00,30,8,False,True,,True,PHARM6945,1,2024
eaa07b5a-b669-4ace-a486-1c6ada9c86d9,EMP15485,Michèle Bernier,préparateur,2024-01-09,11:00,15:00,0,4,False,True,,False,PHARM6945,1,2024
5a70843b-252d-411b-b39c-3261be4860c5,EMP15485,Michèle Bernier,préparateur,2024-01-10,22:00,06:00,30,8,True,True,,False,PHARM6945,1,2024
6fabfeec-5848-4327-abc1-443ac0abf45c,EMP15485,Michèle Bernier,préparateur,2024-01-11,22:00,06:00,30,8,True,True,,False,PHARM6945,1,2024
c5fe5fcb-5974-4d61-80d7-00fac5a136fb,EMP15485,Michèle Bernier,préparateur,2024-01-12,08:00,16:00,30,8,False,True,,False,PHARM6945,1,2024
5748bfd5-fbd9-46f9-b5b9-0cf7e01481d8,EMP22656,Michel Fournier,employé_rayon,2024-01-08,10:00,16:00,30,6,False,False,exceeds_daily_max,True,PHARM6945,1,2024
160c1bbe-7a6f-4ec1-8122-7a8809ed68da,EMP22656,Michel Fournier,employé_rayon,2024-01-09,08:00,17:00,30,9,False,False,night_shift_too_long,False,PHARM6945,1,2024
4371553f-278b-4ca3-a308-6b5a040b5fff,EMP22656,Michel Fournier,employé_rayon,2024-01-10,11:00,17:00,30,6,False,False,insufficient_rest,True,PHARM6945,1,2024
6f5d4bfb-f1eb-41fe-bcdc-44b44036766d,EMP22656,Michel Fournier,employé_rayon,2024-01-11,12:00,21:00,30,9,False,False,exceeds_daily_max,False,PHARM6945,1,2024
2a1111eb-2e6b-4443-ae82-2bed012b557f,EMP22656,Michel Fournier,employé_rayon,2024-01-12,12:00,21:00,30,9,False,False,night_shift_too_long,False,PHARM6945,1,2024
7c5fc558-02a6-4c26-a86c-7c9ec76ce7a6,EMP66259,Alain Dubois,préparateur,2024-01-08,09:00,13:00,0,4,False,True,,True,PHARM6945,1,2024
cca77b93-e8ad-4627-9457-584e691eed88,EMP66259,Alain Dubois,préparateur,2024-01-09,10:00,18:00,30,8,False,True,,False,PHARM6945,1,2024
4a8ac6ea-3e5f-4a24-b22a-da154cbe6913,EMP66259,Alain Dubois,préparateur,2024-01-10,10:00,18:00,30,8,False,True,,False,PHARM6945,1,2024
bfacf8d2-39b1-467c-8888-ffe0f1142528,EMP66259,Alain Dubois,préparateur,2024-01-11,09:00,13:00,0,4,False,True,,True,PHARM6945,1,2024
dc1118e6-cf6a-456e-b45a-5826f52602f1,EMP66259,Alain Dubois,préparateur,2024-01-12,22:00,06:00,30,8,True,True,,True,PHARM6945,1,2024
e218b529-8aa4-4ec2-a1ac-b5c28193a8ad,EMP59518,Olivier Gaillard,préparateur,2024-01-09,12:00,18:00,30,6,False,True,,True,PHARM6945,1,2024
f5d160fb-d92b-4b7c-aa20-172adbd87b37,EMP59518,Olivier Gaillard,préparateur,2024-01-10,22:00,06:00,30,8,True,True,,True,PHARM6945,1,2024
